periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,kritis,kategori
202302,2023-02-25,DKI5,35.0,,13.0,12.0,31.0,18.0,35.0,PM10,BAIK
202302,2023-02-26,DKI5,23.0,,14.0,9.0,32.0,11.0,32.0,O3,BAIK
202302,2023-02-27,DKI5,20.0,,13.0,8.0,33.0,13.0,33.0,O3,BAIK
202302,2023-02-28,DKI5,30.0,,21.0,11.0,28.0,18.0,30.0,PM10,BAIK
202303,2023-03-01,DKI1,38.0,44.0,50.0,8.0,19.0,27.0,50.0,3,BAIK
202303,2023-03-02,DKI1,29.0,33.0,47.0,11.0,21.0,27.0,47.0,3,BAIK
202303,2023-03-03,DKI1,38.0,46.0,49.0,9.0,16.0,25.0,49.0,3,BAIK
202303,2023-03-04,DKI1,31.0,40.0,50.0,,18.0,21.0,50.0,3,BAIK
202303,2023-03-05,DKI1,33.0,41.0,47.0,11.0,21.0,22.0,47.0,3,BAIK
202303,2023-03-06,DKI1,31.0,44.0,46.0,9.0,20.0,19.0,46.0,3,BAIK
202303,2023-03-07,DKI1,37.0,54.0,50.0,11.0,17.0,19.0,54.0,2,SEDANG
202303,2023-03-08,DKI1,42.0,54.0,51.0,12.0,17.0,23.0,54.0,2,SEDANG
202303,2023-03-09,DKI1,47.0,58.0,46.0,13.0,22.0,33.0,58.0,2,SEDANG
202303,2023-03-10,DKI1,45.0,61.0,46.0,12.0,14.0,28.0,61.0,2,SEDANG
202303,2023-03-11,DKI1,44.0,62.0,45.0,12.0,18.0,35.0,62.0,2,SEDANG
202303,2023-03-12,DKI1,61.0,83.0,47.0,13.0,17.0,39.0,83.0,2,SEDANG
202303,2023-03-13,DKI1,53.0,72.0,48.0,12.0,21.0,33.0,72.0,2,SEDANG
202303,2023-03-14,DKI1,51.0,61.0,47.0,12.0,15.0,30.0,61.0,2,SEDANG
202303,2023-03-15,DKI1,29.0,42.0,43.0,11.0,23.0,31.0,43.0,3,BAIK
202303,2023-03-16,DKI1,64.0,84.0,46.0,15.0,21.0,44.0,84.0,2,SEDANG
202303,2023-03-17,DKI1,49.0,59.0,44.0,11.0,21.0,28.0,59.0,2,SEDANG
202303,2023-03-18,DKI1,44.0,60.0,45.0,12.0,20.0,34.0,60.0,2,SEDANG
202303,2023-03-19,DKI1,53.0,67.0,46.0,12.0,24.0,29.0,67.0,2,SEDANG
202303,2023-03-20,DKI1,54.0,76.0,47.0,13.0,28.0,33.0,76.0,2,SEDANG
202303,2023-03-21,DKI1,54.0,71.0,47.0,14.0,20.0,45.0,71.0,2,SEDANG
202303,2023-03-22,DKI1,,,,,,,0.0,,TIDAK ADA DATA
202303,2023-03-23,DKI1,,,,,,,0.0,,TIDAK ADA DATA
202303,2023-03-24,DKI1,,,,,,,0.0,,TIDAK ADA DATA
202303,2023-03-25,DKI1,53.0,69.0,46.0,11.0,29.0,25.0,69.0,2,SEDANG
202303,2023-03-26,DKI1,45.0,64.0,45.0,13.0,25.0,25.0,64.0,2,SEDANG
202303,2023-03-27,DKI1,35.0,52.0,45.0,13.0,27.0,25.0,52.0,2,SEDANG
202303,2023-03-28,DKI1,55.0,72.0,46.0,17.0,19.0,34.0,72.0,2,SEDANG
202303,2023-03-29,DKI1,56.0,74.0,46.0,16.0,21.0,33.0,74.0,2,SEDANG
202303,2023-03-30,DKI1,49.0,66.0,52.0,15.0,22.0,32.0,66.0,2,SEDANG
202303,2023-03-31,DKI1,45.0,57.0,49.0,13.0,22.0,29.0,57.0,2,SEDANG
202303,2023-03-01,DKI2,37.0,41.0,20.0,10.0,20.0,23.0,41.0,2,BAIK
202303,2023-03-02,DKI2,26.0,38.0,19.0,13.0,15.0,25.0,38.0,2,BAIK
202303,2023-03-03,DKI2,34.0,41.0,20.0,10.0,19.0,22.0,41.0,2,BAIK
202302,2023-02-24,DKI5,18.0,,13.0,11.0,28.0,18.0,28.0,O3,BAIK
202303,2023-03-04,DKI2,30.0,36.0,19.0,11.0,17.0,19.0,36.0,2,BAIK
202303,2023-03-05,DKI2,34.0,45.0,19.0,10.0,21.0,18.0,45.0,2,BAIK
202303,2023-03-06,DKI2,37.0,48.0,19.0,8.0,20.0,19.0,48.0,2,BAIK
202303,2023-03-07,DKI2,37.0,53.0,23.0,8.0,15.0,16.0,53.0,2,SEDANG
202303,2023-03-08,DKI2,33.0,41.0,19.0,7.0,21.0,20.0,41.0,2,BAIK
202303,2023-03-09,DKI2,51.0,58.0,20.0,11.0,18.0,31.0,58.0,2,SEDANG
202303,2023-03-10,DKI2,42.0,58.0,18.0,12.0,24.0,26.0,58.0,2,SEDANG
202303,2023-03-11,DKI2,48.0,63.0,21.0,16.0,28.0,35.0,63.0,2,SEDANG
202303,2023-03-12,DKI2,73.0,94.0,27.0,16.0,24.0,36.0,94.0,2,SEDANG
202303,2023-03-13,DKI2,58.0,79.0,34.0,10.0,28.0,25.0,79.0,2,SEDANG
202303,2023-03-14,DKI2,44.0,54.0,19.0,7.0,27.0,21.0,54.0,2,SEDANG
202303,2023-03-15,DKI2,34.0,50.0,23.0,9.0,24.0,24.0,50.0,2,BAIK
202303,2023-03-16,DKI2,68.0,87.0,23.0,22.0,20.0,36.0,87.0,2,SEDANG
202303,2023-03-17,DKI2,56.0,64.0,23.0,10.0,25.0,20.0,64.0,2,SEDANG
202303,2023-03-18,DKI2,56.0,69.0,28.0,11.0,26.0,27.0,69.0,2,SEDANG
202303,2023-03-19,DKI2,62.0,70.0,31.0,12.0,28.0,24.0,70.0,2,SEDANG
202303,2023-03-20,DKI2,57.0,77.0,22.0,12.0,32.0,23.0,77.0,2,SEDANG
202303,2023-03-21,DKI2,63.0,83.0,28.0,12.0,29.0,31.0,83.0,2,SEDANG
202303,2023-03-22,DKI2,58.0,66.0,21.0,7.0,41.0,19.0,66.0,2,SEDANG
202303,2023-03-23,DKI2,40.0,56.0,21.0,5.0,37.0,13.0,56.0,2,SEDANG
202303,2023-03-24,DKI2,,59.0,21.0,5.0,37.0,17.0,59.0,2,SEDANG
202303,2023-03-25,DKI2,51.0,71.0,21.0,10.0,36.0,28.0,71.0,2,SEDANG
202303,2023-03-26,DKI2,52.0,62.0,22.0,10.0,34.0,27.0,62.0,2,SEDANG
202303,2023-03-27,DKI2,33.0,52.0,20.0,9.0,30.0,26.0,52.0,2,SEDANG
202303,2023-03-28,DKI2,58.0,76.0,44.0,19.0,23.0,34.0,76.0,2,SEDANG
202303,2023-03-29,DKI2,72.0,87.0,33.0,19.0,22.0,29.0,87.0,2,SEDANG
202303,2023-03-30,DKI2,52.0,64.0,28.0,17.0,21.0,29.0,64.0,2,SEDANG
202303,2023-03-31,DKI2,43.0,53.0,21.0,12.0,37.0,26.0,53.0,2,SEDANG
202303,2023-03-01,DKI3,30.0,38.0,13.0,7.0,11.0,3.0,38.0,2,BAIK
202303,2023-03-02,DKI3,23.0,29.0,13.0,7.0,9.0,2.0,29.0,2,BAIK
202303,2023-03-03,DKI3,34.0,52.0,14.0,7.0,11.0,2.0,52.0,2,SEDANG
202303,2023-03-04,DKI3,40.0,60.0,14.0,7.0,14.0,3.0,60.0,2,SEDANG
202303,2023-03-05,DKI3,38.0,46.0,14.0,6.0,10.0,2.0,46.0,2,BAIK
202303,2023-03-06,DKI3,39.0,55.0,14.0,6.0,7.0,,55.0,2,SEDANG
202303,2023-03-07,DKI3,48.0,70.0,14.0,7.0,11.0,,70.0,2,SEDANG
202303,2023-03-08,DKI3,60.0,87.0,15.0,7.0,11.0,4.0,87.0,2,SEDANG
202303,2023-03-09,DKI3,62.0,82.0,15.0,7.0,20.0,7.0,82.0,2,SEDANG
202303,2023-03-10,DKI3,51.0,79.0,34.0,11.0,20.0,14.0,79.0,2,SEDANG
202303,2023-03-11,DKI3,40.0,65.0,35.0,12.0,26.0,10.0,65.0,2,SEDANG
202303,2023-03-12,DKI3,62.0,96.0,38.0,19.0,20.0,22.0,96.0,2,SEDANG
202303,2023-03-13,DKI3,55.0,88.0,39.0,17.0,27.0,11.0,88.0,2,SEDANG
202303,2023-03-14,DKI3,58.0,81.0,40.0,15.0,17.0,11.0,81.0,2,SEDANG
202303,2023-03-15,DKI3,36.0,56.0,35.0,10.0,21.0,7.0,56.0,2,SEDANG
202303,2023-03-16,DKI3,66.0,98.0,37.0,34.0,18.0,27.0,98.0,2,SEDANG
202303,2023-03-17,DKI3,64.0,90.0,35.0,22.0,21.0,20.0,90.0,2,SEDANG
202303,2023-03-18,DKI3,49.0,64.0,37.0,13.0,30.0,11.0,64.0,2,SEDANG
202303,2023-03-19,DKI3,49.0,72.0,35.0,17.0,25.0,10.0,72.0,2,SEDANG
202303,2023-03-20,DKI3,55.0,83.0,38.0,13.0,26.0,12.0,83.0,2,SEDANG
202303,2023-03-21,DKI3,52.0,70.0,36.0,19.0,24.0,25.0,70.0,2,SEDANG
