periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,kritis,kategori
202504,2025-04-24,DKI5,16.0,50.0,18.0,3.0,16.0,4.0,50.0,PM25,BAIK
202504,2025-04-25,DKI5,23.0,81.0,19.0,9.0,24.0,3.0,81.0,PM25,SEDANG
202504,2025-04-26,DKI5,30.0,77.0,20.0,11.0,29.0,3.0,77.0,PM25,SEDANG
202504,2025-04-27,DKI5,31.0,85.0,21.0,12.0,47.0,4.0,85.0,PM25,SEDANG
202504,2025-04-28,DKI5,24.0,78.0,20.0,9.0,37.0,4.0,78.0,PM25,SEDANG
202504,2025-04-29,DKI5,21.0,81.0,21.0,9.0,33.0,5.0,81.0,PM25,SEDANG
202504,2025-04-30,DKI5,24.0,88.0,21.0,8.0,37.0,5.0,88.0,PM25,SEDANG
202505,2025-05-01,DKI1,58.0,91.0,34.0,17.0,19.0,41.0,91.0,PM25,SEDANG
202505,2025-05-02,DKI1,58.0,89.0,33.0,14.0,20.0,36.0,89.0,PM25,SEDANG
202505,2025-05-03,DKI1,56.0,83.0,33.0,15.0,16.0,46.0,83.0,PM25,SEDANG
202505,2025-05-04,DKI1,52.0,73.0,29.0,15.0,16.0,36.0,73.0,PM25,SEDANG
202505,2025-05-05,DKI1,60.0,96.0,35.0,20.0,11.0,42.0,96.0,PM25,SEDANG
202505,2025-05-06,DKI1,53.0,83.0,32.0,19.0,13.0,47.0,83.0,PM25,SEDANG
202505,2025-05-07,DKI1,58.0,85.0,31.0,23.0,12.0,50.0,85.0,PM25,SEDANG
202505,2025-05-08,DKI1,66.0,101.0,29.0,32.0,11.0,56.0,101.0,PM25,TIDAK SEHAT
202505,2025-05-09,DKI1,54.0,80.0,29.0,18.0,16.0,40.0,80.0,PM25,SEDANG
202505,2025-05-10,DKI1,56.0,88.0,33.0,18.0,23.0,39.0,88.0,PM25,SEDANG
202501,2025-01-15,DKI5,15.0,49.0,13.0,6.0,20.0,4.0,49.0,PM25,BAIK
202501,2025-01-16,DKI5,11.0,54.0,21.0,5.0,42.0,4.0,54.0,PM25,SEDANG
202501,2025-01-17,DKI5,11.0,54.0,26.0,4.0,50.0,5.0,54.0,PM25,SEDANG
202501,2025-01-18,DKI5,7.0,25.0,11.0,3.0,55.0,,55.0,O3,SEDANG
202501,2025-01-19,DKI5,11.0,37.0,24.0,3.0,49.0,3.0,49.0,O3,BAIK
202501,2025-01-20,DKI5,10.0,43.0,18.0,3.0,52.0,5.0,52.0,O3,SEDANG
202501,2025-01-21,DKI5,15.0,54.0,3.0,12.0,38.0,13.0,54.0,PM25,SEDANG
202501,2025-01-22,DKI5,15.0,53.0,16.0,10.0,26.0,14.0,53.0,PM25,SEDANG
202501,2025-01-23,DKI5,16.0,66.0,28.0,7.0,28.0,15.0,66.0,PM25,SEDANG
202501,2025-01-24,DKI5,17.0,74.0,25.0,13.0,25.0,13.0,74.0,PM25,SEDANG
202501,2025-01-25,DKI5,16.0,64.0,22.0,10.0,24.0,9.0,64.0,PM25,SEDANG
202501,2025-01-26,DKI5,17.0,62.0,34.0,8.0,21.0,9.0,62.0,PM25,SEDANG
202501,2025-01-27,DKI5,10.0,54.0,24.0,3.0,13.0,8.0,54.0,PM25,SEDANG
202501,2025-01-28,DKI5,8.0,32.0,22.0,3.0,20.0,7.0,32.0,PM25,BAIK
202501,2025-01-29,DKI5,11.0,32.0,15.0,6.0,25.0,14.0,32.0,PM25,BAIK
202501,2025-01-30,DKI5,8.0,24.0,13.0,4.0,28.0,8.0,28.0,O3,BAIK
202501,2025-01-31,DKI5,10.0,51.0,14.0,7.0,26.0,13.0,51.0,PM25,SEDANG
202505,2025-05-11,DKI1,61.0,87.0,30.0,22.0,19.0,37.0,87.0,PM25,SEDANG
202505,2025-05-12,DKI1,38.0,59.0,29.0,14.0,11.0,24.0,59.0,PM25,SEDANG
202505,2025-05-13,DKI1,36.0,62.0,31.0,12.0,15.0,23.0,62.0,PM25,SEDANG
202505,2025-05-14,DKI1,47.0,71.0,31.0,16.0,21.0,41.0,71.0,PM25,SEDANG
202505,2025-05-15,DKI1,52.0,73.0,33.0,19.0,18.0,46.0,73.0,PM25,SEDANG
202505,2025-05-16,DKI1,51.0,77.0,27.0,19.0,,49.0,77.0,PM25,SEDANG
202505,2025-05-17,DKI1,58.0,82.0,29.0,18.0,14.0,45.0,82.0,PM25,SEDANG
202505,2025-05-18,DKI1,53.0,77.0,30.0,28.0,15.0,36.0,77.0,PM25,SEDANG
202505,2025-05-19,DKI1,50.0,73.0,32.0,14.0,19.0,38.0,73.0,PM25,SEDANG
202505,2025-05-20,DKI1,59.0,87.0,39.0,23.0,11.0,52.0,87.0,PM25,SEDANG
202505,2025-05-21,DKI1,52.0,80.0,35.0,17.0,6.0,44.0,80.0,PM25,SEDANG
202505,2025-05-22,DKI1,55.0,78.0,27.0,22.0,5.0,43.0,78.0,PM25,SEDANG
202504,2025-04-12,DKI2,64.0,84.0,33.0,24.0,16.0,14.0,84.0,PM25,SEDANG
202504,2025-04-13,DKI2,51.0,74.0,30.0,22.0,20.0,6.0,74.0,PM25,SEDANG
202504,2025-04-14,DKI2,30.0,32.0,29.0,14.0,12.0,12.0,32.0,PM25,BAIK
202504,2025-04-15,DKI2,48.0,62.0,34.0,16.0,12.0,10.0,62.0,PM25,SEDANG
202504,2025-04-16,DKI2,52.0,72.0,33.0,18.0,20.0,17.0,72.0,PM25,SEDANG
202504,2025-04-17,DKI2,53.0,72.0,31.0,21.0,17.0,8.0,72.0,PM25,SEDANG
202504,2025-04-18,DKI2,58.0,73.0,30.0,21.0,14.0,33.0,73.0,PM25,SEDANG
202504,2025-04-19,DKI2,56.0,73.0,32.0,19.0,17.0,42.0,73.0,PM25,SEDANG
202504,2025-04-20,DKI2,41.0,57.0,32.0,15.0,21.0,31.0,57.0,PM25,SEDANG
202504,2025-04-21,DKI2,44.0,61.0,32.0,15.0,14.0,33.0,61.0,PM25,SEDANG
202504,2025-04-22,DKI2,53.0,78.0,34.0,21.0,21.0,35.0,78.0,PM25,SEDANG
202504,2025-04-23,DKI2,62.0,81.0,34.0,25.0,13.0,47.0,81.0,PM25,SEDANG
202504,2025-04-24,DKI2,24.0,50.0,30.0,13.0,14.0,38.0,50.0,PM25,BAIK
202504,2025-04-25,DKI2,53.0,77.0,34.0,22.0,19.0,42.0,77.0,PM25,SEDANG
202504,2025-04-26,DKI2,53.0,77.0,35.0,18.0,20.0,33.0,77.0,PM25,SEDANG
202504,2025-04-27,DKI2,56.0,89.0,31.0,17.0,22.0,31.0,89.0,PM25,SEDANG
202504,2025-04-28,DKI2,,,31.0,16.0,19.0,34.0,34.0,NO2,BAIK
202504,2025-04-29,DKI2,57.0,83.0,34.0,17.0,20.0,7.0,83.0,PM25,SEDANG
202504,2025-04-30,DKI2,60.0,84.0,35.0,16.0,23.0,,84.0,PM25,SEDANG
202504,2025-04-01,DKI3,19.0,50.0,17.0,7.0,12.0,18.0,50.0,PM25,BAIK
202504,2025-04-02,DKI3,29.0,55.0,17.0,10.0,10.0,29.0,55.0,PM25,SEDANG
202504,2025-04-03,DKI3,21.0,54.0,17.0,10.0,19.0,46.0,54.0,PM25,SEDANG
202504,2025-04-04,DKI3,30.0,57.0,17.0,9.0,18.0,18.0,57.0,PM25,SEDANG
202504,2025-04-05,DKI3,42.0,68.0,23.0,9.0,19.0,17.0,68.0,PM25,SEDANG
202504,2025-04-06,DKI3,41.0,65.0,19.0,13.0,18.0,43.0,65.0,PM25,SEDANG
202504,2025-04-07,DKI3,26.0,53.0,19.0,13.0,21.0,32.0,53.0,PM25,SEDANG
202504,2025-04-08,DKI3,40.0,71.0,22.0,11.0,24.0,28.0,71.0,PM25,SEDANG
202504,2025-04-09,DKI3,49.0,78.0,22.0,12.0,21.0,25.0,78.0,PM25,SEDANG
202504,2025-04-10,DKI3,55.0,90.0,20.0,15.0,23.0,33.0,90.0,PM25,SEDANG
202504,2025-04-11,DKI3,41.0,70.0,19.0,17.0,23.0,40.0,70.0,PM25,SEDANG
202504,2025-04-12,DKI3,44.0,73.0,19.0,23.0,18.0,54.0,73.0,PM25,SEDANG
202504,2025-04-13,DKI3,35.0,61.0,19.0,13.0,20.0,25.0,61.0,PM25,SEDANG
202504,2025-04-14,DKI3,24.0,40.0,19.0,8.0,11.0,30.0,40.0,PM25,BAIK
202504,2025-04-15,DKI3,35.0,61.0,24.0,9.0,15.0,25.0,61.0,PM25,SEDANG
202504,2025-04-16,DKI3,51.0,72.0,22.0,19.0,23.0,57.0,72.0,PM25,SEDANG
202504,2025-04-17,DKI3,,,,,,,0.0,,TIDAK ADA DATA
202504,2025-04-18,DKI3,63.0,96.0,21.0,19.0,18.0,38.0,96.0,PM25,SEDANG
202504,2025-04-19,DKI3,40.0,70.0,22.0,14.0,16.0,39.0,70.0,PM25,SEDANG
202504,2025-04-20,DKI3,32.0,61.0,22.0,9.0,21.0,15.0,61.0,PM25,SEDANG
202504,2025-04-21,DKI3,,57.0,27.0,8.0,13.0,33.0,57.0,PM25,SEDANG
202504,2025-04-22,DKI3,62.0,95.0,24.0,16.0,15.0,52.0,95.0,PM25,SEDANG
202504,2025-04-23,DKI3,59.0,84.0,23.0,18.0,11.0,74.0,84.0,PM25,SEDANG
202504,2025-04-24,DKI3,38.0,53.0,22.0,6.0,14.0,27.0,53.0,PM25,SEDANG
202504,2025-04-25,DKI3,40.0,60.0,22.0,13.0,14.0,58.0,60.0,PM25,SEDANG
202504,2025-04-26,DKI3,47.0,75.0,28.0,13.0,22.0,43.0,75.0,PM25,SEDANG
202504,2025-04-27,DKI3,44.0,70.0,24.0,14.0,25.0,38.0,70.0,PM25,SEDANG
202504,2025-04-28,DKI3,35.0,66.0,25.0,10.0,27.0,22.0,66.0,PM25,SEDANG
202504,2025-04-29,DKI3,43.0,70.0,26.0,11.0,27.0,22.0,70.0,PM25,SEDANG
202504,2025-04-30,DKI3,47.0,79.0,27.0,10.0,29.0,20.0,79.0,PM25,SEDANG
