periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,kritis,kategori
202005,2020-05-01,DKI5,55,,26.0,21.0,83,10,83,O3,SEDANG
202005,2020-05-02,DKI5,36,,22.0,12.0,80,9,80,O3,SEDANG
202005,2020-05-03,DKI5,65,,34.0,35.0,49,11,65,PM10,SEDANG
202005,2020-05-04,DKI5,53,,21.0,14.0,75,8,75,O3,SEDANG
202005,2020-05-05,DKI5,53,,22.0,18.0,73,9,73,O3,SEDANG
202005,2020-05-06,DKI5,52,,22.0,14.0,63,7,63,O3,SEDANG
202005,2020-05-07,DKI5,67,,24.0,18.0,69,9,69,O3,SEDANG
202005,2020-05-08,DKI5,91,,22.0,18.0,120,10,120,O3,TIDAK SEHAT
202005,2020-05-09,DKI4,77,,22.0,22.0,75,12,77,PM10,SEDANG
202005,2020-05-10,DKI5,72,,23.0,27.0,81,15,81,O3,SEDANG
202005,2020-05-11,DKI5,54,,24.0,18.0,83,8,83,O3,SEDANG
202005,2020-05-12,DKI5,57,,23.0,20.0,81,10,81,O3,SEDANG
202005,2020-05-13,DKI5,55,,22.0,17.0,79,8,79,O3,SEDANG
202005,2020-05-14,DKI3,61,,23.0,17.0,64,12,64,O3,SEDANG
202005,2020-05-15,DKI2,66,,23.0,18.0,62,9,66,PM10,SEDANG
202005,2020-05-16,DKI5,65,,23.0,17.0,77,8,77,O3,SEDANG
202005,2020-05-17,DKI5,74,,23.0,18.0,122,9,122,O3,TIDAK SEHAT
202005,2020-05-18,DKI5,62,,21.0,15.0,79,10,79,O3,SEDANG
202005,2020-05-19,DKI5,42,,23.0,15.0,119,13,119,O3,TIDAK SEHAT
202005,2020-05-20,DKI4,61,,23.0,14.0,73,9,73,O3,SEDANG
202005,2020-05-21,DKI2,33,,23.0,14.0,79,12,79,O3,SEDANG
202005,2020-05-22,DKI5,70,,22.0,16.0,88,17,88,O3,SEDANG
202005,2020-05-23,DKI5,42,,22.0,15.0,87,8,87,O3,SEDANG
202005,2020-05-24,DKI2,62,,21.0,26.0,65,11,65,O3,SEDANG
202005,2020-05-25,DKI4,50,,25.0,15.0,44,9,50,PM10,BAIK
202005,2020-05-26,DKI4,52,,42.0,18.0,45,8,52,PM10,SEDANG
202005,2020-05-27,DKI2,37,,22.0,12.0,76,10,76,O3,SEDANG
202005,2020-05-28,DKI5,64,,35.0,16.0,136,16,136,O3,TIDAK SEHAT
202005,2020-05-29,DKI5,62,,27.0,16.0,134,12,134,O3,TIDAK SEHAT
202005,2020-05-30,DKI5,63,,38.0,36.0,73,11,73,O3,SEDANG
202005,2020-05-31,DKI5,54,,32.0,28.0,66,9,66,O3,SEDANG
202008,2020-08-18,DKI5,75,,25.0,19.0,99,14,99,O3,SEDANG
202008,2020-08-19,DKI3,80,,33.0,29.0,82,18,82,O3,SEDANG
202008,2020-08-20,DKI3,62,,30.0,18.0,64,13,64,O3,SEDANG
202008,2020-08-21,DKI4,71,,32.0,10.0,58,10,71,PM10,SEDANG
202008,2020-08-22,DKI4,84,,31.0,20.0,63,16,84,PM10,SEDANG
202008,2020-08-23,DKI5,72,,33.0,27.0,88,14,88,O3,SEDANG
202008,2020-08-24,DKI4,79,,31.0,17.0,68,14,79,PM10,SEDANG
202008,2020-08-25,DKI5,74,,33.0,13.0,75,17,75,O3,SEDANG
202008,2020-08-26,DKI5,63,,31.0,9.0,100,11,100,O3,SEDANG
202008,2020-08-27,DKI5,57,,31.0,10.0,80,11,80,O3,SEDANG
202008,2020-08-28,DKI4,84,,33.0,15.0,67,16,84,PM10,SEDANG
202008,2020-08-29,DKI5,70,,33.0,12.0,71,12,71,O3,SEDANG
202008,2020-08-30,DKI5,74,,33.0,15.0,79,10,79,O3,SEDANG
202008,2020-08-31,DKI5,69,,33.0,13.0,134,14,134,O3,TIDAK SEHAT
202009,2020-09-17,DKI4,65,,52.0,11.0,45,23,83,PM25,SEDANG
202009,2020-09-18,DKI4,70,,51.0,15.0,40,19,106,PM25,TIDAK SEHAT
202009,2020-09-19,DKI4,88,,56.0,14.0,40,20,119,PM25,TIDAK SEHAT
202009,2020-09-20,DKI3,73,,52.0,15.0,31,13,86,PM25,SEDANG
202009,2020-09-21,DKI4,65,,50.0,19.0,28,18,85,PM25,SEDANG
202009,2020-09-22,DKI4,62,,50.0,15.0,39,19,67,PM25,SEDANG
202009,2020-09-23,DKI2,73,,51.0,17.0,32,30,102,PM25,TIDAK SEHAT
202009,2020-09-24,DKI3,57,,44.0,16.0,39,29,93,PM25,SEDANG
202001,2020-01-01,DKI5,38,,36.0,25.0,46,9,46,O3,BAIK
202001,2020-01-02,DKI5,45,,36.0,39.0,102,8,102,O3,TIDAK SEHAT
202001,2020-01-03,DKI5,51,,37.0,27.0,63,10,63,O3,SEDANG
202001,2020-01-04,DKI5,51,,38.0,19.0,85,10,85,O3,SEDANG
202001,2020-01-05,DKI5,52,,39.0,25.0,62,9,62,O3,SEDANG
202001,2020-01-06,DKI5,62,,37.0,39.0,64,9,64,O3,SEDANG
202001,2020-01-07,DKI5,50,,38.0,39.0,66,11,66,O3,SEDANG
202001,2020-01-08,DKI5,52,,40.0,22.0,70,11,70,O3,SEDANG
202001,2020-01-09,DKI4,82,,38.0,58.0,71,13,82,PM10,SEDANG
202001,2020-01-10,DKI5,44,,37.0,27.0,47,9,47,O3,BAIK
202001,2020-01-11,DKI5,44,,38.0,25.0,80,9,80,O3,SEDANG
202001,2020-01-12,DKI5,43,,38.0,17.0,46,5,46,O3,BAIK
202001,2020-01-13,DKI4,42,,38.0,15.0,51,8,51,O3,SEDANG
202001,2020-01-14,DKI4,40,,32.0,17.0,48,9,48,O3,BAIK
202001,2020-01-15,DKI3,44,,29.0,16.0,63,9,63,O3,SEDANG
202001,2020-01-16,DKI3,70,,60.0,41.0,78,12,78,O3,SEDANG
202001,2020-01-17,DKI4,86,,34.0,40.0,125,20,125,O3,TIDAK SEHAT
202001,2020-01-18,DKI4,59,,30.0,25.0,75,7,75,O3,SEDANG
202001,2020-01-19,DKI3,76,,34.0,71.0,110,15,110,O3,TIDAK SEHAT
202001,2020-01-20,DKI3,56,,31.0,20.0,65,9,65,O3,SEDANG
202001,2020-01-21,DKI3,62,,36.0,41.0,50,15,62,PM10,SEDANG
202001,2020-01-22,DKI4,82,,36.0,43.0,64,15,82,PM10,SEDANG
202001,2020-01-23,DKI4,60,,32.0,29.0,59,18,60,PM10,SEDANG
202001,2020-01-24,DKI4,71,,30.0,31.0,44,13,71,PM10,SEDANG
202001,2020-01-25,DKI5,40,,29.0,34.0,80,12,80,O3,SEDANG
202001,2020-01-26,DKI5,63,,30.0,51.0,89,11,89,O3,SEDANG
202001,2020-01-27,DKI2,48,,30.0,29.0,83,13,83,O3,SEDANG
202001,2020-01-28,DKI3,72,,31.0,39.0,74,17,74,O3,SEDANG
202001,2020-01-29,DKI4,70,,30.0,42.0,92,19,92,O3,SEDANG
202001,2020-01-30,DKI4,38,,30.0,21.0,80,20,80,O3,SEDANG
202001,2020-01-31,DKI4,56,,30.0,27.0,54,16,56,PM10,SEDANG
202003,2020-03-02,SANGAT,22,,,35.0,213,11,213,4,O3
202003,2020-03-03,SANGAT,22,,,,201,15,201,4,O3
202003,2020-03-04,TIDAK,54,,,39.0,152,13,152,4,O3
202003,2020-03-05,SANGAT,59,,,32.0,206,5,206,4,O3
202003,2020-03-06,SEDANG,24,,17.0,52.0,95,3,95,4,O3
202003,2020-03-07,SEDANG,34,,27.0,40.0,54,7,54,4,O3
202003,2020-03-08,SEDANG,30,,24.0,40.0,58,5,58,4,O3
202003,2020-03-09,SEDANG,52,,22.0,38.0,59,7,59,4,O3
