periode_data,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2013,2013,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,0-4,LAKI-LAKI,1419
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,15-19,LAKI-LAKI,1981
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,15-19,LAKI-LAKI,1084
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,15-19,LAKI-LAKI,1533
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,15-19,LAKI-LAKI,1691
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,15-19,LAKI-LAKI,2154
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,15-19,LAKI-LAKI,1446
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,15-19,LAKI-LAKI,2412
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,15-19,LAKI-LAKI,2451
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,15-19,LAKI-LAKI,430
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,15-19,LAKI-LAKI,824
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,15-19,LAKI-LAKI,1282
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,15-19,LAKI-LAKI,724
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,15-19,LAKI-LAKI,1755
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,15-19,LAKI-LAKI,801
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,15-19,LAKI-LAKI,1467
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,15-19,LAKI-LAKI,1672
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,15-19,LAKI-LAKI,510
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,15-19,LAKI-LAKI,253
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,15-19,LAKI-LAKI,154
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,15-19,LAKI-LAKI,282
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,15-19,LAKI-LAKI,145
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,15-19,LAKI-LAKI,614
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,15-19,LAKI-LAKI,416
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,15-19,LAKI-LAKI,113
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,15-19,LAKI-LAKI,1225
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,15-19,LAKI-LAKI,878
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,15-19,LAKI-LAKI,1798
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,15-19,LAKI-LAKI,1529
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,15-19,LAKI-LAKI,2118
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,15-19,LAKI-LAKI,1619
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,15-19,LAKI-LAKI,1911
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,15-19,LAKI-LAKI,1865
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,15-19,LAKI-LAKI,1673
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,15-19,LAKI-LAKI,2326
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,15-19,LAKI-LAKI,1782
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,15-19,LAKI-LAKI,1871
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,15-19,LAKI-LAKI,1562
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,15-19,LAKI-LAKI,2484
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,15-19,LAKI-LAKI,1599
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,15-19,LAKI-LAKI,988
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,15-19,LAKI-LAKI,1512
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,15-19,LAKI-LAKI,1045
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,15-19,LAKI-LAKI,575
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,15-19,LAKI-LAKI,1441
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,15-19,LAKI-LAKI,1915
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,15-19,LAKI-LAKI,983
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,15-19,LAKI-LAKI,829
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,15-19,LAKI-LAKI,285
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,15-19,LAKI-LAKI,174
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,15-19,LAKI-LAKI,1234
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,15-19,LAKI-LAKI,1106
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,15-19,LAKI-LAKI,443
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,15-19,LAKI-LAKI,722
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,15-19,LAKI-LAKI,126
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,15-19,LAKI-LAKI,151
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,15-19,LAKI-LAKI,1337
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,15-19,LAKI-LAKI,1044
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,15-19,LAKI-LAKI,1702
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,15-19,LAKI-LAKI,1571
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,15-19,LAKI-LAKI,1614
2013,2013,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,15-19,LAKI-LAKI,895
