periode_data,periode_pemantauan,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,PH,6.9,7.11
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,BOD,3.0,13.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,COD,25.0,41.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,DO,4.0,5.6
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,NITRAT,10.0,2.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,NITRIT,0.06,0.1
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,TOTAL P,0.2,0.2
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,F,1.5,0.01
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,H2S,0.002,0.002
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,KLORIN BEBAS,0.03,0.03
202405,PERIODE 2,KLT 6,KALIBARU TIMUR,JL BUNGA MATRAMAN JATINEGARA,-6.211243889,106.8619619,KIMIA,FENOL,0.005,0.0009
202405,PERIODE 2,PSG 4,PESANGGRAHAN,JL H KELIK HUTAN KOTA,-6.208616,106.764814,KIMIA,CD,0.01,0.0009
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,ZN,0.05,0.006
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,CU,0.02,0.06
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,PB,0.03,0.002
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,CR6,0.05,0.001
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,MINYAK DAN LEMAK,1.0,0.2
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,MBAS,0.2,0.01
202405,PERIODE 2,PSG 4,PESANGGRAHAN,JL H KELIK HUTAN KOTA,-6.208616,106.764814,KIMIA,FENOL,0.005,0.0009
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,BIOLOGI,TOTAL COLIFORM,5000.0,2950.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,BIOLOGI,FECAL COLIFORM,1000.0,860.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,FISIKA,WARNA,50.0,10.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,SULFAT,300.0,8.83
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,KLORIDA,300.0,11.0
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,AMONIAK,0.2,0.2
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,TOTAL N,15.0,7.2886
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,NI,0.05,0.03
202405,PERIODE 2,KLT 3,KALIBARU TIMUR,JL RAYA BOGOR KOMSEKO,-6.286182,106.870626,KIMIA,SIANIDA,0.02,0.01
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,FISIKA,TDS,1000.0,136.0
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,FISIKA,TSS,50.0,84.0
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,PH,6.9,6.82
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,BOD,3.0,33.0
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,COD,25.0,110.0
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,DO,4.0,5.2
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,NITRAT,10.0,2.0
202405,PERIODE 2,KLT 4,KALIBARU TIMUR,JL SMA 14,-6.255905469,106.8649615,KIMIA,NITRIT,0.06,0.09
